12,12,12,12,12,12,12,12,-1,-1,12,12,12,12,12,12,12,12,12,12
12,12,12,12,12,12,12,12,-1,2,12,12,12,12,12,12,12,12,12,12
12,12,12,12,12,12,12,12,15,16,12,12,12,12,12,12,12,12,12,12
12,12,12,12,12,-1,-1,-1,-1,-1,-1,-1,-1,12,12,12,12,12,12,12
12,12,12,12,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,12
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,14
-1,6,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,19
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
